,id,title,address,town,state,postcode,country,lat,lon,operator,status,num_connectors,connector_types,date_added,distance,coord_key,poi_sum,efficiency,waiting_time,n_poi,n_eff,n_dist,n_wait,total_score
0,462769,Electra - Wambrechies - Volfoni,81 Av. Clément Ader,Wambrechies,,59118,FR,50.6856527479799,3.0624104228837723,Electra,Operational,2,CCS (Type 2)|Type 2 (Socket Only),2025-11-02 09:58:00+00:00,1436838,"50.6856527479799,3.0624104228837723",20.190922151824395,3,8,1.0,1.0,1.0,0.8666666666666667,0.9666666666666667
2,462767,Electra - Bondues - Sure Hotel by Best Western Lille Tourcoing,3 Av. Henri Becquerel,Bondues,,59910,FR,50.722535304716985,3.1294960074308165,Electra,Operational,2,CCS (Type 2)|Type 2 (Socket Only),2025-11-02 09:50:00+00:00,1436898,"50.722535304716985,3.1294960074308165",12.36207811195163,3,2,0.6122592132739528,1.0,0.9933407325194229,0.9666666666666667,0.8930666531150107
1,462768,Electra - Tourcoing - Action,185 rue du Touquet,Tourcoing,,59200,FR,50.723170847779386,3.1806363703025227,Electra,Operational,3,CCS (Type 2)|CHAdeMO|Type 2 (Socket Only),2025-11-02 09:55:00+00:00,1438514,"50.723170847779386,3.1806363703025227",8.620243118555491,3,12,0.4269365734628713,1.0,0.813984461709212,0.8,0.7602302587930208
4,462765,Electra - Halluin - Intermarché,Boulevard de Roncq,Halluin,,59250,FR,50.769938069594645,3.1240298745922246,Electra,Operational,2,CCS (Type 2)|Type 2 (Socket Only),2025-11-02 09:42:00+00:00,1443231,"50.769938069594645,3.1240298745922246",11.178733526102489,3,8,0.5536514599008748,1.0,0.2904550499445061,0.8666666666666667,0.6776932941280119
3,462766,Electra - Bousbecque - Intermarché,Rue Auger,Bousbecque,,59166,FR,50.77013919273634,3.0834544961079478,Electra,Operational,2,CCS (Type 2)|Type 2 (Socket Only),2025-11-02 09:46:00+00:00,1445848,"50.77013919273634,3.0834544961079478",5.788820613677344,3,19,0.2867041222856819,1.0,0.0,0.6833333333333333,0.4925093639047538
