access,addr:city,addr:country,addr:district,addr:floor,addr:full,addr:housenumber,addr:place,addr:postcode,addr:province,addr:street,amenity,bicycle,branch,brand,brand:en,brand:wikidata,brand:wikipedia,capacity,capacity:motorcar,charging,charging_station:battery_swapping,construction,covered,description,fee,fuel:octane_92,fuel:octane_95,fuel:octane_98,layer,level,mobile_phones,moped,motorcar,motorcycle,name,name:en,name:ja,name:zh,netbook,network,note,opening_hours,operator,operator:wikidata,operator:wikipedia,parking:fee,payment:app,phone,postal_code,ref,scooter,short_name,socket,socket:j1772,socket:tesla_supercharger,socket:tesla_supercharger:output,socket:type1,socket:type1:output,socket:type2_combo,socket:type2_combo:output,truck,voltage,website,wheelchair,longitude,latitude
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.7196062,24.1252442
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,台中市電動機車充電站,,,,,,,,,,,,,,,,,,,,,,,,,120.6650434,24.1493999
,臺北市,TW,中正區,,,165,,100,,中華路二段,charging_station,,,,,,,,,,,,,,,,,,,,,,,,gogoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.5042186,25.0308252
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EZ Swap,,,,,,,,,,,,,,,,,,,,,,118.317326,24.4325657
,新北市,TW,樹林區,,,50,,238,,三興路,charging_station,,,,,,,,,,,,,,,,,,,,,,,,GoStation 中油大慶加油站,,,,,,,,gogoro,,,,,,,,,,,,,,,,,,,,,,121.3952173,25.01457
,,,,,,,,,,,charging_station,,基隆東岸地下停車場站,Gogoro 電池交換站,,Q19880591,,,,,,,,電池交換站位於地下一樓的機車停車場區域,,,,,,-1,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,121.7436973,25.1303539
,,,,,,,,,,,charging_station,,,Gogoro 電池交換站,,Q19880591,zh:Gogoro,,,,,,,,,,,,,0,,,,,Gogoro 電池交換站 WorldGym 信義店 Sport站,,,,,,,,Gogoro 電池交換站,Q19880591,zh:Gogoro,,,,,,,,,,,,,,,,,,,,121.7511718,25.1292681
,,,,,,,,,,,charging_station,,林長站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,0,,,,,GOGORO 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,121.8235874,25.1210417
,,,,,,,,,,,charging_station,,,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,0,,,,,Gogoro 電池交換站 南山社區站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,121.7760971,25.0401632
,,,,,,,,,,,charging_station,,,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,0,,,,,GOGORO 電池交換站 中油成功一路站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,121.7379883,25.1268794
,,,,,,,,,,,charging_station,,,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站 中油安樂站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,121.7188453,25.1266343
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.5387466,24.9949974
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,台灣電力公司,,,台灣電力公司,,,,,,,,,,,,,,,,,,,,,,,,,,,121.1432297,24.9050546
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.2520213,22.9701788
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,no,,,,2,2,yes,,,,,,,,yes,,,,,,,,,,,,,,USB,,,,,,,,,110,,,120.6871966,24.137306
,,,,,,,,,,,charging_station,no,,,,,,,,,,,,,yes,,,,,,,,no,,GoStation 中油永錡保安站,,,,,,,,gogoro,,,,,,,,only,,,,,,,,,,no,,,,121.421369,24.9960604
,,,,,,,,,,,charging_station,,,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,Gogoro 充電站，24格,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,121.6022681,25.0839877
,,,,,,,,,,,charging_station,no,,,,,,24,,,,,,,yes,,,,,,,,no,,GoStation 台北捷運輔大站(3號出口),,,,,,,,gogoro,,,,,,,,only,,,,,,,,,,no,,,,121.4365166,25.032488
,,,,,,,,,,,charging_station,no,,,,,,,,,,yes,,,yes,,,,,,,,no,,GoStation 台北捷運輔大站(4號出口),,,,,,,,gogoro,,,,,,,,only,,,,,,,,,,no,,,,121.4364347,25.0331
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.2381834,25.0816019
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.2373607,25.0824714
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.2384141,25.0813467
,,,,,,,,,,,charging_station,,,"Tesla, Inc.",,Q478214,,6,,,,,,,,,,,,,,,yes,,臺北花博超級充電站,Taipei Expo Park Supercharger,,臺北花博超級充電站,,Tesla,,24/7,"Tesla, Inc.",Q478214,,,,,,,,Tesla,,,6,,,,,,,,https://www.tesla.com/findus/location/supercharger/taipeiexpoparksupercharger,,121.5215098,25.0687213
,,,,,,,,,,,charging_station,,,,,,,5,,mobil_phones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.600252,24.2549704
,,,,,,,,,,,charging_station,,,,,,,,,scooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.4302005,24.5026469
,,,,,,,,,,,charging_station,,,,,,,,,motorcycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.4140062,24.4886406
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,gogoro換電站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.1947852,22.9750163
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,gogoro換電站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.1871096,22.9882937
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMW,,,BMW,Q26678,,,,,,,,,,,,,,,,,,,,,121.5491,25.0219871
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6316255,24.0268576
,,,,,,,,,,,charging_station,,,,,,,,,,,,,(充電站)臺南市南區台南高商,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.202,22.9811
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,機場捷運手機充電站/無線上網站,,携帯電話充電スポット,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.5145122,25.0485745
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.4675471,24.9937322
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,電動車太陽能充電站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.3003119,24.9928795
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gogoro,,,,,,,,,,,,,,,,,,,,,,120.4566689,23.4895305
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萬金停車場,,,,,,,,,,,,,,,,,,,,,,120.6082927,22.5951699
,苗栗縣,TW,銅鑼鄉,,,6,,,台灣省,銅科六路,charging_station,,,,,,,,,,,,,,,,,,,,,,,,苗栗銅鑼科學園區超級充電站,,,,,,,,Tesla Motors,,,,,,,,,,,,10,,,,,,,,,,120.7600075,24.4621653
,臺中市,TW,潭子區,,,239,,42750,,圓通南路,charging_station,,7-ELEVEN 圓通南店站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.7032363,24.2071259
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,GoStation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.3868732,25.0772985
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gogoro電池站,,,,,,,,,,,,,,,,,,,,,,120.5378464,24.2451225
